site_id,trial_id,site_name,country,principal_investigator,enrollment_count,site_status
SITE-00001,TRL-0001,South Jessicaview Medical Center,India,Dr. Johnson,375,Pending Activation
SITE-00002,TRL-0001,Lake Mary Community Health Network,United Kingdom,Dr. Johnston,193,Closed
SITE-00003,TRL-0002,Port Emilyview Regional Cancer Center,Brazil,Dr. Johnston,84,Active
SITE-00004,TRL-0002,South April University Hospital,Japan,Dr. Ramos,60,Pending Activation
SITE-00005,TRL-0002,Howardshire University Hospital,Spain,Dr. Graham,93,Pending Activation
SITE-00006,TRL-0002,Costafort Medical Center,United States,Dr. Bailey,46,Active
SITE-00007,TRL-0003,Manuelville Community Health Network,United States,Dr. Hodge,16,Pending Activation
SITE-00008,TRL-0003,Robertfort Medical Center,Japan,Dr. Roberts,10,Closed
SITE-00009,TRL-0004,Cervantesside Regional Cancer Center,Australia,Dr. Johnson,63,Pending Activation
SITE-00010,TRL-0004,West Johnnyville Regional Cancer Center,Canada,Dr. Cordova,49,Closed
SITE-00011,TRL-0004,Hancocktown Clinical Research Institute,South Africa,Dr. Sandoval,58,Active
SITE-00012,TRL-0004,Gutierrezborough University Hospital,Canada,Dr. Stone,88,Active
SITE-00013,TRL-0004,Garrettton University Hospital,Spain,Dr. Harris,72,Closed
SITE-00014,TRL-0004,West Samuel Community Health Network,Japan,Dr. Wolfe,115,Active
SITE-00015,TRL-0005,North Teresabury Regional Cancer Center,Spain,Dr. Mckinney,14,Active
SITE-00016,TRL-0005,Andreaside Medical Center,United Kingdom,Dr. Russell,11,Closed
SITE-00017,TRL-0006,Port Robin Clinical Research Institute,Japan,Dr. Murray,218,Closed
SITE-00018,TRL-0006,Lake Marilynfort University Hospital,India,Dr. Cantu,235,Active
SITE-00019,TRL-0007,Williamview Regional Cancer Center,Germany,Dr. Perry,82,Active
SITE-00020,TRL-0007,Bairdbury Regional Cancer Center,South Africa,Dr. Bryant,82,Pending Activation
SITE-00021,TRL-0007,South James Clinical Research Institute,South Africa,Dr. Greene,66,Pending Activation
SITE-00022,TRL-0007,Port Chad University Hospital,India,Dr. Barton,152,Closed
SITE-00023,TRL-0008,Morganhaven Medical Center,Canada,Dr. Adams,8,Active
SITE-00024,TRL-0008,West Jessicashire Regional Cancer Center,India,Dr. Carpenter,6,Closed
SITE-00025,TRL-0008,Grimesmouth Community Health Network,Canada,Dr. Ryan,9,Pending Activation
SITE-00026,TRL-0008,Martinside Regional Cancer Center,Canada,Dr. Bennett,9,Closed
SITE-00027,TRL-0008,Mollybury Medical Center,Canada,Dr. Armstrong,7,Active
SITE-00028,TRL-0008,Port Kimberly University Hospital,Germany,Dr. Williams,9,Pending Activation
SITE-00029,TRL-0009,Thorntonfurt University Hospital,India,Dr. Hughes,62,Closed
SITE-00030,TRL-0009,South Tammie Medical Center,United Kingdom,Dr. Martinez,54,Closed
SITE-00031,TRL-0009,Mollymouth Community Health Network,Canada,Dr. Garcia,68,Pending Activation
SITE-00032,TRL-0009,Smithberg Medical Center,Canada,Dr. Ortiz,49,Closed
SITE-00033,TRL-0010,North Terrance University Hospital,United Kingdom,Dr. Costa,70,Closed
SITE-00034,TRL-0010,Cindyfurt Clinical Research Institute,India,Dr. Santos,98,Pending Activation
SITE-00035,TRL-0010,Melissaside Medical Center,South Africa,Dr. James,36,Pending Activation
SITE-00036,TRL-0010,Courtneyfort Clinical Research Institute,Brazil,Dr. Brennan,42,Closed
SITE-00037,TRL-0010,New Caseyport Clinical Research Institute,United Kingdom,Dr. Bright,65,Active
SITE-00038,TRL-0010,South Tiffanyville Clinical Research Institute,Japan,Dr. Wallace,98,Active
SITE-00039,TRL-0011,Rebeccaton Community Health Network,Germany,Dr. Nguyen,130,Pending Activation
SITE-00040,TRL-0011,West Michaelchester Medical Center,Germany,Dr. Thomas,160,Pending Activation
SITE-00041,TRL-0012,Knightburgh Regional Cancer Center,Spain,Dr. Jackson,10,Pending Activation
SITE-00042,TRL-0012,New Monicabury Regional Cancer Center,Spain,Dr. Jimenez,12,Pending Activation
SITE-00043,TRL-0012,East Steven Community Health Network,Brazil,Dr. King,29,Pending Activation
SITE-00044,TRL-0012,Elizabethmouth University Hospital,Germany,Dr. Santana,28,Closed
SITE-00045,TRL-0013,North Scott Regional Cancer Center,Australia,Dr. Reed,54,Pending Activation
SITE-00046,TRL-0014,Daniellechester University Hospital,Spain,Dr. Vaughn,23,Active
SITE-00047,TRL-0014,Bruceborough University Hospital,South Africa,Dr. Kidd,18,Active
SITE-00048,TRL-0014,Rodriguezfurt University Hospital,Australia,Dr. Armstrong,21,Closed
SITE-00049,TRL-0015,Victoriaport Medical Center,Brazil,Dr. Johnson,505,Closed
SITE-00050,TRL-0016,Hillshire Medical Center,Spain,Dr. Grimes,297,Pending Activation
SITE-00051,TRL-0017,New Julieport Regional Cancer Center,Australia,Dr. Parsons,45,Pending Activation
SITE-00052,TRL-0017,New Laurie Community Health Network,United States,Dr. Robinson,54,Closed
SITE-00053,TRL-0017,New John Community Health Network,United Kingdom,Dr. Campos,29,Closed
SITE-00054,TRL-0017,Lake Colton Community Health Network,Australia,Dr. Burton,24,Pending Activation
SITE-00055,TRL-0017,West Kristinaton Clinical Research Institute,United States,Dr. Riley,37,Closed
SITE-00056,TRL-0018,North Renee University Hospital,India,Dr. Murphy,228,Pending Activation
SITE-00057,TRL-0019,Thompsonberg Clinical Research Institute,United States,Dr. Buchanan,6,Active
SITE-00058,TRL-0019,Alyssaview Regional Cancer Center,Australia,Dr. Rivas,11,Pending Activation
SITE-00059,TRL-0019,Robinfort Community Health Network,Spain,Dr. Coffey,13,Active
SITE-00060,TRL-0019,Juliemouth University Hospital,Brazil,Dr. Brock,5,Closed
SITE-00061,TRL-0019,Mccartyberg Regional Cancer Center,Canada,Dr. Webster,11,Closed
SITE-00062,TRL-0019,Port Erica Community Health Network,United States,Dr. Craig,8,Pending Activation
SITE-00063,TRL-0020,Coffeyside University Hospital,India,Dr. Diaz,23,Closed
SITE-00064,TRL-0020,Smithside Medical Center,South Africa,Dr. Martinez,11,Pending Activation
SITE-00065,TRL-0020,Emilyview Regional Cancer Center,Japan,Dr. Richards,20,Closed
SITE-00066,TRL-0020,Danielbury Community Health Network,Germany,Dr. Ruiz,23,Closed
SITE-00067,TRL-0020,Rosebury Medical Center,Spain,Dr. Holland,25,Pending Activation
SITE-00068,TRL-0020,Blankenshipport Clinical Research Institute,Brazil,Dr. Banks,20,Closed
SITE-00069,TRL-0021,East Brandonton Regional Cancer Center,Germany,Dr. Torres,82,Pending Activation
SITE-00070,TRL-0021,Wilsonbury Medical Center,Japan,Dr. Clay,92,Pending Activation
SITE-00071,TRL-0021,South Shawn Regional Cancer Center,Brazil,Dr. Santiago,113,Active
SITE-00072,TRL-0021,Matthewsberg Community Health Network,India,Dr. Mcclure,88,Pending Activation
SITE-00073,TRL-0021,Port Tracychester Regional Cancer Center,South Africa,Dr. Crosby,43,Closed
SITE-00074,TRL-0021,Antoniostad Medical Center,Brazil,Dr. Robinson,118,Closed
SITE-00075,TRL-0022,Sampsonstad Clinical Research Institute,Brazil,Dr. Garcia,38,Closed
SITE-00076,TRL-0022,Amystad Clinical Research Institute,United Kingdom,Dr. Brown,37,Active
