trial_id,compound_id,trial_phase,therapeutic_area,sponsor,start_date,planned_end_date,actual_end_date,status,target_enrollment,actual_enrollment,primary_endpoint
TRL-0001,CMP-0002,Phase III,Metabolic Disease,PharmaSense Global R&D,2024-02-01,2025-03-08,2025-03-08,Completed,525,511,Reduction in LDL Cholesterol
TRL-0002,CMP-0005,Phase II,Infectious Disease,PharmaSense Oncology Division,2025-07-19,2026-08-01,2026-08-01,Completed,333,293,Time to Symptom Resolution
TRL-0003,CMP-0006,Phase I,Respiratory,PharmaSense Oncology Division,2022-02-28,2023-07-02,2022-06-12,Terminated,44,23,Reduction in LDL Cholesterol
TRL-0004,CMP-0007,Phase I,Cardiology,PharmaSense Global R&D,2022-10-13,2023-06-05,2023-06-05,Completed,596,521,Change in HbA1c from Baseline
TRL-0005,CMP-0012,Phase II,Metabolic Disease,PharmaSense Global R&D,2025-01-21,2025-11-02,,"Active, not recruiting",42,31,Objective Response Rate (ORR)
TRL-0006,CMP-0012,Phase II,Metabolic Disease,PharmaSense Global R&D,2023-03-12,2025-01-10,,Recruiting,481,391,Change in HbA1c from Baseline
TRL-0007,CMP-0015,Phase II,Cardiology,PharmaSense Therapeutics,2024-07-10,2025-09-21,2025-09-21,Completed,519,493,Progression-Free Survival (PFS)
TRL-0008,CMP-0017,Phase I,Infectious Disease,PharmaSense Therapeutics,2024-01-01,2025-11-14,,Recruiting,105,43,Change in HbA1c from Baseline
TRL-0009,CMP-0017,Phase I,Infectious Disease,PharmaSense Therapeutics,2024-04-12,2025-03-10,2025-03-10,Completed,341,356,ACR20 Response Rate
TRL-0010,CMP-0018,Phase II,Oncology,PharmaSense Oncology Division,2023-10-08,2025-10-28,2025-10-28,Completed,456,411,Safety and Tolerability (MTD)
TRL-0011,CMP-0019,Phase II,Infectious Disease,PharmaSense Neuroscience Unit,2025-04-27,2027-01-20,2027-01-20,Completed,334,319,Reduction in LDL Cholesterol
TRL-0012,CMP-0019,Phase II,Infectious Disease,PharmaSense Therapeutics,2023-04-24,2025-05-25,2025-05-25,Completed,91,79,ACR20 Response Rate
TRL-0013,CMP-0020,Phase I,Metabolic Disease,PharmaSense Oncology Division,2025-02-09,2026-05-05,2026-05-05,Completed,113,108,ACR20 Response Rate
TRL-0014,CMP-0023,Phase II,Infectious Disease,PharmaSense Oncology Division,2023-01-08,2025-01-22,,Suspended,106,48,Overall Survival (OS)
TRL-0015,CMP-0024,Phase III,Metabolic Disease,PharmaSense Global R&D,2022-12-05,2024-09-06,2024-09-06,Completed,511,529,Overall Survival (OS)
TRL-0016,CMP-0024,Phase III,Metabolic Disease,PharmaSense Global R&D,2022-04-18,2023-06-09,,Recruiting,325,293,Objective Response Rate (ORR)
TRL-0017,CMP-0026,Phase IV,Respiratory,PharmaSense Oncology Division,2022-08-23,2025-01-22,2025-01-22,Completed,269,232,Safety and Tolerability (MTD)
