result_id,compound_id,experiment_type,result_value,unit,result_date,technician,pass_fail
LAB-00001,CMP-0047,Binding Affinity (SPR),2.74,nM (Kd),2025-09-25,William Ramsey,Pass
LAB-00002,CMP-0142,hERG Cardiotoxicity Screen,46.7,% inhibition at 10uM,2024-09-18,Amy Kim,Pass
LAB-00003,CMP-0079,Solubility Assay,1.4,mg/mL,2026-01-24,Randy Friedman,Pass
LAB-00004,CMP-0108,Solubility Assay,1.43,mg/mL,2024-04-19,Alyssa Nelson,Pass
LAB-00005,CMP-0049,Selectivity Panel,80.3,% selectivity,2026-09-06,Henry Pugh MD,Pass
LAB-00006,CMP-0073,Selectivity Panel,10.1,% selectivity,2025-06-06,Angelica Montgomery,Pass
LAB-00007,CMP-0048,Solubility Assay,3.54,mg/mL,2025-11-26,Angela Moore,Pass
LAB-00008,CMP-0139,Solubility Assay,8.59,mg/mL,2025-07-23,Nancy Stewart,Pass
LAB-00009,CMP-0067,Enzymatic Inhibition Assay,1.84,nM (IC50),2023-02-20,Eric Ward,Pass
LAB-00010,CMP-0099,Binding Affinity (SPR),0.74,nM (Kd),2023-10-16,Cody Cole,Pass
LAB-00011,CMP-0119,Enzymatic Inhibition Assay,5.51,nM (IC50),2024-12-05,Alexander Gomez,Pass
LAB-00012,CMP-0148,Metabolic Stability (Microsomal),114.3,min (t1/2),2023-01-31,Erika Cruz,Pass
LAB-00013,CMP-0102,Binding Affinity (SPR),0.57,nM (Kd),2023-11-18,Bradley Santana,Pass
LAB-00014,CMP-0004,Metabolic Stability (Microsomal),129.2,min (t1/2),2026-05-01,Laura Jackson,Pass
LAB-00015,CMP-0024,Binding Affinity (SPR),1.36,nM (Kd),2024-03-26,Eric Snyder,Pass
LAB-00016,CMP-0036,Solubility Assay,4.05,mg/mL,2022-12-19,Jason Washington,Pass
LAB-00017,CMP-0118,Selectivity Panel,40.3,% selectivity,2023-01-08,David Weber,Pass
LAB-00018,CMP-0075,Selectivity Panel,91.3,% selectivity,2025-01-31,Brian Torres,Pass
