doc_id,compound_id,trial_id,doc_type,title,author,date,full_text,tags
DOC-00001,CMP-0108,,Lab Notebook Entry,Lab Notebook Entry: SNF-1107 - Mar 2025,Larry Rivera,2026-06-21,Follow-up assay for SNF-1107: repeated Pharmacokinetic (PK) Study in triplicate to confirm prior result of strong target engagement. Variance was low (<10%). SNF-1107 remains a watchlist candidate for the Metabolic Disease program pending in vivo follow-up.,"Metabolic Disease,Clinical,SGLT2"
DOC-00002,CMP-0024,TRL-0016,Regulatory Briefing,Regulatory Briefing: DKU-1023 - Mar 2024,Victor Smith,2023-10-23,Regulatory briefing document for DKU-1023: summary of nonclinical and clinical safety data supporting the Phase III submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Metabolic Disease population prior to advancing to the next phase.,"R&D,Regulatory Briefing,Safety"
DOC-00003,CMP-0145,,Lab Notebook Entry,Lab Notebook Entry: DKU-1144 - Sep 2025,Whitney Atkins,2023-12-04,"Ran Enzymatic Inhibition Assay on DKU-1144 (SGLT2 program) at 10.1 uM concentration. Observed strong target engagement. Compared to reference compound, DKU-1144 showed comparable activity. Recommend in vivo follow-up.","SGLT2,Neurology,Clinical"
DOC-00004,CMP-0007,TRL-0004,Regulatory Briefing,Regulatory Briefing: AGN-1006 - Dec 2024,Mike Martinez,2026-01-15,Regulatory briefing document for AGN-1006: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"Regulatory Briefing,PCSK9,Cardiology"
DOC-00005,CMP-0138,TRL-0102,Literature Review,Literature Review: SNF-1137 - Aug 2025,Allison Castillo,2025-11-21,"Recent literature on HER2 inhibitors highlights growing interest in Oncology indications. Several published studies report that selective HER2 modulation can reduce Elevated Liver Enzymes-related toxicity relative to first-generation agents. This supports continued investment in the SNF-1137 program, particularly given its allosteric modulator of her2, reducing pathological receptor activation","Oncology,R&D,Safety"
DOC-00006,CMP-0092,,Internal Memo,Internal Memo: AGN-1091 - Nov 2024,Patricia Cox,2025-11-10,Internal memo re: AGN-1091 (Discovery). The project team met to review Q2 progress. Key decision: initiate combination study planning. Budget and timeline impact to be assessed by the portfolio committee. Next milestone review scheduled for 2026-10-21.,"IL-6R,Immunology,Internal Memo"
DOC-00007,CMP-0088,TRL-0063,Internal Memo,Internal Memo: DKU-1087 - Aug 2025,Caleb Thomas,2024-07-01,Internal memo re: DKU-1087 (Phase I). The project team met to review Q4 progress. Key decision: expand to two additional sites. Budget and timeline impact to be assessed by the portfolio committee. Next milestone review scheduled for 2026-11-07.,"R&D,BCL-2,Immunology"
DOC-00008,CMP-0103,TRL-0071,SOP Deviation Report,SOP Deviation Report: SNF-1102 - Mar 2026,Ashley Jackson,2024-12-13,"SOP deviation report: during Enzymatic Inhibition Assay for SNF-1102, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","JAK2,R&D,SOP Deviation Report"
DOC-00009,CMP-0148,,Conference Abstract,Conference Abstract: VLX-1147 - Sep 2024,Rebecca Clark,2024-01-02,"Conference abstract: 'VLX-1147 demonstrates durable efficacy in Cardiology: results from N/A.' Presented findings show a statistically significant benefit with a manageable safety profile; most common adverse event was Pyrexia (Moderate, self-limited).","Cardiology,Clinical,Conference Abstract"
DOC-00010,CMP-0098,,SOP Deviation Report,SOP Deviation Report: VLX-1097 - Aug 2025,Steven Vasquez,2024-06-11,"SOP deviation report: during Solubility Assay for VLX-1097, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","Safety,SOP Deviation Report,R&D"
DOC-00011,CMP-0134,TRL-0096,Lab Notebook Entry,Lab Notebook Entry: PSA-1133 - Jun 2024,Jeremy Cobb,2025-10-23,"Ran Selectivity Panel on PSA-1133 (ALK program) at 34.3 uM concentration. Observed strong target engagement. Compared to reference compound, PSA-1133 showed comparable activity. Recommend scale-up synthesis.","Clinical,Cardiology,Lab Notebook Entry"
DOC-00012,CMP-0134,TRL-0096,Literature Review,Literature Review: PSA-1133 - Jun 2025,Pam Hernandez,2024-07-29,"Recent literature on ALK inhibitors highlights growing interest in Cardiology indications. Several published studies report that selective ALK modulation can reduce QT Prolongation-related toxicity relative to first-generation agents. This supports continued investment in the PSA-1133 program, particularly given its selective inhibitor of alk, blocking downstream proliferative signaling","Cardiology,ALK,Literature Review"
DOC-00013,CMP-0150,TRL-0110,Regulatory Briefing,Regulatory Briefing: PSA-1149 - May 2024,Jack Carter,2026-07-18,Regulatory briefing document for PSA-1149: summary of nonclinical and clinical safety data supporting the Phase III submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Metabolic Disease population prior to advancing to the next phase.,"JAK2,R&D,Safety"
DOC-00014,CMP-0053,TRL-0035,SOP Deviation Report,SOP Deviation Report: VLX-1052 - Mar 2024,Karen Gonzales,2024-08-05,"SOP deviation report: during Selectivity Panel for VLX-1052, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as none, within spec.","SOP Deviation Report,IL-6R,Safety"
DOC-00015,CMP-0056,TRL-0038,Internal Memo,Internal Memo: PSA-1055 - Oct 2025,Eduardo Cruz,2025-08-15,"Status update on TRL-0038 (PSA-1055): enrollment is at 49% of target across 6 sites. Safety signal review for Nausea is complete, no signal identified. No changes recommended to the current protocol at this time.","mTOR,Safety,Oncology"
DOC-00016,CMP-0138,TRL-0102,SOP Deviation Report,SOP Deviation Report: SNF-1137 - Oct 2023,Eric Silva,2024-06-28,"SOP deviation report: during Metabolic Stability (Microsomal) for SNF-1137, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as none, within spec.","SOP Deviation Report,HER2,R&D"
DOC-00017,CMP-0124,TRL-0086,SOP Deviation Report,SOP Deviation Report: VLX-1123 - Nov 2025,Whitney Sullivan,2025-07-26,"SOP deviation report: during Selectivity Panel for VLX-1123, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","mTOR,Oncology,Safety"
DOC-00018,CMP-0019,TRL-0012,Literature Review,Literature Review: DKU-1018 - Mar 2024,Christopher Farrell,2024-08-27,"Recent literature on NLRP3 inhibitors highlights growing interest in Infectious Disease indications. Several published studies report that selective NLRP3 modulation can reduce Neutropenia-related toxicity relative to first-generation agents. This supports continued investment in the DKU-1018 program, particularly given its allosteric modulator of nlrp3, reducing pathological receptor activation","Clinical,NLRP3,Safety"
DOC-00019,CMP-0028,,Conference Abstract,Conference Abstract: AGN-1027 - Oct 2024,Karina Jackson,2025-04-15,"Conference abstract: 'AGN-1027 demonstrates durable efficacy in Immunology: results from N/A.' Presented findings show a clinically meaningful benefit with a manageable safety profile; most common adverse event was Fatigue (Moderate, self-limited).","JAK2,Safety,Clinical"
DOC-00020,CMP-0122,TRL-0085,Regulatory Briefing,Regulatory Briefing: SNF-1121 - Mar 2024,Alexis Arroyo,2024-09-26,Regulatory briefing document for SNF-1121: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"Regulatory Briefing,Safety,R&D"
DOC-00021,CMP-0140,,SOP Deviation Report,SOP Deviation Report: AGN-1139 - Aug 2024,Donald Strickland,2026-01-29,"SOP deviation report: during Selectivity Panel for AGN-1139, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","SOP Deviation Report,R&D,Clinical"
DOC-00022,CMP-0103,TRL-0071,Literature Review,Literature Review: SNF-1102 - Aug 2025,Joe Durham,2026-06-06,"A meta-analysis of Respiratory trials targeting JAK2 found that symptom control improved in 67% of studies reviewed, though Pyrexia was the most commonly reported dose-limiting toxicity. These findings are directly relevant to the SNF-1102 clinical development plan.","Clinical,R&D,JAK2"
DOC-00023,CMP-0044,,Regulatory Briefing,Regulatory Briefing: AGN-1043 - Mar 2026,Rachel Warren,2024-05-25,Regulatory briefing document for AGN-1043: summary of nonclinical and clinical safety data supporting the Discovery submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Oncology population prior to advancing to the next phase.,"R&D,Oncology,Regulatory Briefing"
DOC-00024,CMP-0071,TRL-0050,Conference Abstract,Conference Abstract: DKU-1070 - Apr 2024,Jennifer Garcia,2024-09-12,"Conference abstract: 'DKU-1070 demonstrates durable efficacy in Respiratory: results from TRL-0050.' Presented findings show a statistically significant benefit with a manageable safety profile; most common adverse event was Myalgia (Moderate, self-limited).","R&D,Safety,Conference Abstract"
